student_name,email,registered_course,year,house,prefet
Aiden Ortiz,aiden.ortiz@poudlard.edu,potion,1.0,Gryffondor,Godrick
Ava Jones,ava.jones@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Madison Wright,madison.wright@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Connor Gutierrez,connor.gutierrez@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Victoria Bailey,victoria.bailey@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Luna Kim,luna.kim@poudlard.edu,sortilege,1.0,Serdaigle,Help
Emma Romalas,emma.romalas@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Chloe Reed,chloe.reed@poudlard.edu,sortilege,1.0,Serdaigle,Help
Grace Nelson,grace.nelson@poudlard.edu,sortilege,1.0,Serdaigle,Help
Scarlett Torres,scarlett.torres@poudlard.edu,sortilege,1.0,Serdaigle,Help
Olivia Williams,olivia.williams@poudlard.edu,botanique,1.0,Serdaigle,Help
Levi Patel,levi.patel@poudlard.edu,potion,1.0,Gryffondor,Godrick
Olivia Plea,olivia.plea@poudlard.edu,potion,2.0,Poufsouffle,Vrouminette
William Davis,william.davis@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Chloe Reed,chloe.reed@poudlard.edu,sortilege,1.0,Serdaigle,Help
Levi Patel,levi.patel@poudlard.edu,potion,1.0,Gryffondor,Godrick
Owen Wood,owen.wood@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Penelope Price,penelope.price@poudlard.edu,potion,1.0,Serpentard,Hermione
Connor Gutierrez,connor.gutierrez@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Levi Patel,levi.patel@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Grace Nelson,grace.nelson@poudlard.edu,sortilege,1.0,Serdaigle,Help
Levi Patel,levi.patel@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Liam Zune,liam.zune@poudlard.edu,potion,2.0,Serdaigle,Help
Victoria Bailey,victoria.bailey@poudlard.edu,potion,1.0,Serpentard,Hermione
Connor Gutierrez,connor.gutierrez@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Victoria Bailey,victoria.bailey@poudlard.edu,botanique,1.0,Serpentard,Hermione
Scarlett Torres,scarlett.torres@poudlard.edu,botanique,1.0,Serdaigle,Help
Noah Misonal,noah.misonal@poudlard.edu,potion,1.0,Serpentard,Hermione
